date,ConfirmedCases
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,1
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,1
2020-01-27,0
2020-01-28,1
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,1
2020-02-03,1
2020-02-04,3
2020-02-05,3
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,1
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,1
2020-02-15,1
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,2
2020-02-20,5
2020-02-21,3
2020-02-22,1
2020-02-23,5
2020-02-24,6
2020-02-25,0
2020-02-26,4
2020-02-27,4
2020-02-28,8
2020-02-29,5
2020-03-01,4
2020-03-02,9
2020-03-03,18
2020-03-04,36
2020-03-05,51
2020-03-06,70
2020-03-07,78
2020-03-08,130
2020-03-09,146
2020-03-10,214
2020-03-11,390
2020-03-12,498
2020-03-13,530
2020-03-14,734
2020-03-15,951
2020-03-16,1218
2020-03-17,2172
2020-03-18,2343
2020-03-19,3199
2020-03-20,4888
2020-03-21,6117
2020-03-22,7542
2020-03-23,9122
2020-03-24,10833
2020-03-25,10689
2020-03-26,11402
2020-03-27,14075
2020-03-28,18527
2020-03-29,20206
2020-03-30,20793
2020-03-31,26250
2020-04-01,15269
2020-04-02,23701
2020-04-03,28400
2020-04-04,29912
2020-04-05,31709
2020-04-06,32491
2020-04-07,27019
2020-04-08,28615
2020-04-09,29131
2020-04-10,34163
2020-04-11,34776
2020-04-12,32644
2020-04-13,32119
2020-04-14,27136
2020-04-15,24964
2020-04-16,25058
2020-04-17,25213
2020-04-18,31625
2020-04-19,30290
2020-04-20,27651
2020-04-21,26891
2020-04-22,26064
2020-04-23,25220
2020-04-24,31123
2020-04-25,32947
2020-04-26,34871
2020-04-27,32868
2020-04-28,26573
2020-04-29,24143
2020-04-30,23573
2020-05-01,27007
2020-05-02,31415
2020-05-03,32125
2020-05-04,28387
2020-05-05,26787
2020-05-06,21530
2020-05-07,22846
2020-05-08,25298
2020-05-09,29512
2020-05-10,28298
2020-05-11,25854
2020-05-12,21611
2020-05-13,19777
2020-05-14,24181
2020-05-15,17447
2020-05-16,34337
2020-05-17,26866
2020-05-18,25809
2020-05-19,20011
2020-05-20,23108
2020-05-21,21686
2020-05-22,23972
2020-05-23,25790
2020-05-24,25999
2020-05-25,21199
2020-05-26,21672
2020-05-27,19510
2020-05-28,16807
2020-05-29,19774
2020-05-30,24185
2020-05-31,23776
2020-06-01,24059
2020-06-02,21311
2020-06-03,17206
2020-06-04,20794
2020-06-05,20984
2020-06-06,20633
2020-06-07,24692
2020-06-08,23696
2020-06-09,17746
2020-06-10,18071
2020-06-11,18525
2020-06-12,22223
2020-06-13,22973
2020-06-14,28381
2020-06-15,26401
2020-06-16,20504
2020-06-17,20669
2020-06-18,24771
2020-06-19,25814
2020-06-20,28630
2020-06-21,33188
2020-06-22,33325
2020-06-23,27244
2020-06-24,28743
2020-06-25,37875
2020-06-26,37170
2020-06-27,47150
2020-06-28,46519
2020-06-29,43396
2020-06-30,37517
2020-07-01,38650
2020-07-02,46600
2020-07-03,59257
2020-07-04,55381
2020-07-05,60313
2020-07-06,49506
2020-07-07,40011
2020-07-08,51045
2020-07-09,56076
2020-07-10,65091
2020-07-11,62180
2020-07-12,68299
2020-07-13,67301
2020-07-14,59626
2020-07-15,56125
2020-07-16,64751
2020-07-17,72024
2020-07-18,69526
2020-07-19,76835
2020-07-20,67343
2020-07-21,59792
2020-07-22,58519
2020-07-23,63391
2020-07-24,72140
2020-07-25,73454
2020-07-26,73147
2020-07-27,61279
2020-07-28,58275
2020-07-29,53479
2020-07-30,58847
2020-07-31,64735
2020-08-01,66207
2020-08-02,68111
2020-08-03,56519
2020-08-04,51149
2020-08-05,45178
2020-08-06,51705
2020-08-07,55626
2020-08-08,54370
2020-08-09,61849
2020-08-10,51250
2020-08-11,46232
2020-08-12,43695
2020-08-13,58822
2020-08-14,54702
2020-08-15,51699
2020-08-16,55930
2020-08-17,51258
2020-08-18,41296
2020-08-19,41755
2020-08-20,41504
2020-08-21,46621
2020-08-22,46310
2020-08-23,47572
2020-08-24,41309
2020-08-25,36884
2020-08-26,36100
2020-08-27,40322
2020-08-28,46726
2020-08-29,46756
2020-08-30,46784
2020-08-31,40704
2020-09-01,36597
2020-09-02,38805
2020-09-03,38938
2020-09-04,43906
2020-09-05,45224
2020-09-06,50815
2020-09-07,41581
2020-09-08,33702
2020-09-09,25077
2020-09-10,28066
2020-09-11,35023
2020-09-12,38568
2020-09-13,44187
2020-09-14,40052
2020-09-15,32750
2020-09-16,34524
2020-09-17,36733
2020-09-18,44224
2020-09-19,44632
2020-09-20,47845
2020-09-21,42136
2020-09-22,34228
2020-09-23,41658
2020-09-24,49232
2020-09-25,41909
2020-09-26,46056
2020-09-27,49668
2020-09-28,41804
2020-09-29,35262
2020-09-30,38894
2020-10-01,38727
2020-10-02,45621
2020-10-03,47131
2020-10-04,51115
2020-10-05,47682
2020-10-06,35384
2020-10-07,41531
2020-10-08,41522
2020-10-09,53937
2020-10-10,55398
2020-10-11,58970
2020-10-12,53756
2020-10-13,44453
2020-10-14,49532
2020-10-15,50078
2020-10-16,57764
2020-10-17,62894
2020-10-18,68999
2020-10-19,54342
2020-10-20,48672
2020-10-21,61594
2020-10-22,58902
2020-10-23,68941
2020-10-24,74753
2020-10-25,82263
2020-10-26,76078
2020-10-27,65527
2020-10-28,69819
2020-10-29,75206
2020-10-30,84466
2020-10-31,91106
2020-11-01,97645
2020-11-02,92418
2020-11-03,141390
2020-11-04,87471
2020-11-05,98403
2020-11-06,114095
2020-11-07,123037
2020-11-08,133855
2020-11-09,128962
2020-11-10,111634
2020-11-11,124642
2020-11-12,146018
2020-11-13,153619
2020-11-14,161982
2020-11-15,177323
2020-11-16,163798
2020-11-17,139099
2020-11-18,152741
2020-11-19,167255
2020-11-20,170787
2020-11-21,189345
2020-11-22,193109
2020-11-23,173585
2020-11-24,150894
2020-11-25,159757
2020-11-26,175324
2020-11-27,193929
2020-11-28,143844
2020-11-29,165792
2020-11-30,143707
2020-12-01,140647
2020-12-02,152255
2020-12-03,192898
2020-12-04,209564
2020-12-05,217548
2020-12-06,224723
2020-12-07,205797
2020-12-08,176760
2020-12-09,183040
2020-12-10,227422
2020-12-11,220827
2020-12-12,208447
2020-12-13,246573
2020-12-14,216313
2020-12-15,181118
2020-12-16,197987
2020-12-17,199562
2020-12-18,240326
2020-12-19,246003
2020-12-20,236114
2020-12-21,202637
2020-12-22,186592
2020-12-23,183189
2020-12-24,198749
2020-12-25,226312
2020-12-26,201751
2020-12-27,158781
2020-12-28,149764
2020-12-29,152957
2020-12-30,178336
2020-12-31,208859
2021-01-01,237065
2021-01-02,229428
2021-01-03,227333
2021-01-04,226473
2021-01-05,204341
2021-01-06,175040
2021-01-07,243448
2021-01-08,257756
2021-01-09,269560
2021-01-10,292854
2021-01-11,255587
2021-01-12,223936
2021-01-13,204265
2021-01-14,217804
2021-01-15,227074
2021-01-16,223231
2021-01-17,239273
2021-01-18,212763
2021-01-19,183879
2021-01-20,151500
2021-01-21,150298
2021-01-22,187800
2021-01-23,187770
2021-01-24,190200
2021-01-25,164583
2021-01-26,143954
2021-01-27,134126
2021-01-28,146503
2021-01-29,158890
2021-01-30,155967
2021-01-31,164357
2021-02-01,137177
2021-02-02,112254
2021-02-03,128865
2021-02-04,121715
2021-02-05,108769
2021-02-06,125104
2021-02-07,124489
2021-02-08,108540
2021-02-09,91762
2021-02-10,82270
2021-02-11,91413
2021-02-12,98842
2021-02-13,99053
2021-02-14,97572
2021-02-15,84676
2021-02-16,66386
2021-02-17,58265
2021-02-18,57379
2021-02-19,63796
2021-02-20,68333
2021-02-21,73488
2021-02-22,66003
2021-02-23,55485
2021-02-24,56400
2021-02-25,70315
2021-02-26,72528
2021-02-27,71666
2021-02-28,73303
2021-03-01,67814
2021-03-02,51991
2021-03-03,51283
2021-03-04,54216
2021-03-05,65783
2021-03-06,65237
2021-03-07,63863
2021-03-08,57485
2021-03-09,43400
2021-03-10,43303
2021-03-11,53744
2021-03-12,61775
2021-03-13,60028
2021-03-14,64037
2021-03-15,52202
2021-03-16,47224
2021-03-17,43665
2021-03-18,51908
2021-03-19,61336
2021-03-20,62643
2021-03-21,62011
2021-03-22,58093
2021-03-23,45143
2021-03-24,48354
2021-03-25,57885
2021-03-26,68153
2021-03-27,65562
2021-03-28,74957
2021-03-29,62814
2021-03-30,53008
2021-03-31,58272
2021-04-01,61416
2021-04-02,70456
2021-04-03,73491
2021-04-04,70407
2021-04-05,63481
2021-04-06,45473
2021-04-07,56767
2021-04-08,63741
2021-04-09,75004
2021-04-10,75042
2021-04-11,76568
2021-04-12,67716
2021-04-13,53295
2021-04-14,61087
2021-04-15,71463
2021-04-16,70830
2021-04-17,71646
2021-04-18,71135
2021-04-19,77143
2021-04-20,49018
2021-04-21,35515
2021-04-22,57326
2021-04-23,63147
2021-04-24,61836
2021-04-25,62115
2021-04-26,51620
2021-04-27,40671
2021-04-28,30588
2021-04-29,50229
2021-04-30,54548
2021-05-01,55768
2021-05-02,55080
2021-05-03,48208
2021-05-04,36451
2021-05-05,33058
2021-05-06,42602
2021-05-07,44652
2021-05-08,42733
2021-05-09,44552
2021-05-10,36823
2021-05-11,27341
2021-05-12,24599
2021-05-13,33058
2021-05-14,35813
2021-05-15,40399
2021-05-16,35300
2021-05-17,29479
2021-05-18,21356
2021-05-19,19547
2021-05-20,27773
2021-05-21,27625
2021-05-22,27804
2021-05-23,27973
2021-05-24,22026
2021-05-25,15880
2021-05-26,15330
2021-05-27,24221
2021-05-28,23497
2021-05-29,22070
2021-05-30,24743
2021-05-31,15580
2021-06-01,12302
2021-06-02,9325
2021-06-03,9055
2021-06-04,16151
2021-06-05,18319
2021-06-06,18630
2021-06-07,14621
2021-06-08,11025
2021-06-09,9990
2021-06-10,14319
2021-06-11,19658
2021-06-12,15909
2021-06-13,14082
2021-06-14,12294
2021-06-15,8718
2021-06-16,8331
2021-06-17,12772
2021-06-18,13114
2021-06-19,13416
2021-06-20,11921
2021-06-21,12323
2021-06-22,9049
2021-06-23,8692
2021-06-24,13379
2021-06-25,13810
2021-06-26,15536
2021-06-27,15046
