DATE,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,15Y,20Y,25Y,30Y,35Y,40Y,45Y,50Y
2000-01-01,3.96,4.46,4.78,5.045,5.205,5.355,5.48,5.595,5.69,5.76,,5.885,6.035,6.115,6.14,6.135,,,,
2000-01-02,3.96,4.46,4.78,5.045,5.205,5.355,5.48,5.595,5.69,5.76,,5.885,6.035,6.115,6.14,6.135,,,,
2000-01-03,4.015,4.515,4.885,5.125,5.285,5.435,5.565,5.685,5.795,5.855,,5.9775,6.1225,6.2075,6.2275,6.2225,,,,
2000-01-04,4.0375,4.555,4.895,5.135,5.305,5.435,5.585,5.695,5.795,5.865,,5.9675,6.1125,6.2025,6.2225,6.2175,,,,
2000-01-05,4.0425,4.535,4.865,5.105,5.275,5.425,5.555,5.685,5.785,5.855,,5.9825,6.1275,6.2175,6.2375,6.2325,,,,
2000-01-06,4.0375,4.585,4.905,5.155,5.335,5.485,5.615,5.755,5.845,5.915,,6.0325,6.1775,6.2675,6.2875,6.2825,,,,
2000-01-07,3.9975,4.525,4.865,5.105,5.285,5.435,5.585,5.725,5.825,5.895,,5.93,6.08,6.175,6.195,6.19,,,,
2000-01-08,3.9975,4.525,4.865,5.105,5.285,5.435,5.585,5.725,5.825,5.895,,5.93,6.08,6.175,6.195,6.19,,,,
2000-01-09,3.9975,4.525,4.865,5.105,5.285,5.435,5.585,5.725,5.825,5.895,,5.93,6.08,6.175,6.195,6.19,,,,
2000-01-10,3.9725,4.435,4.7475,4.99,5.165,5.325,5.475,5.605,5.71,5.785,,5.915,6.055,6.145,6.165,6.1575,,,,
2000-01-11,4.015,4.52,4.855,5.105,5.285,5.445,5.595,5.725,5.825,5.905,,6.035,6.175,6.255,6.275,6.265,,,,
2000-01-12,4.0225,4.535,4.88,5.1325,5.3125,5.4675,5.615,5.7375,5.8375,5.915,,6.04,6.18,6.28,6.2825,6.275,,,,
2000-01-13,4.0025,4.5025,4.8425,5.1175,5.2975,5.4475,5.5825,5.7025,5.8125,5.8825,,6.0075,6.1475,6.2425,6.2625,6.2575,,,,
2000-01-14,4.005,4.5,4.8675,5.1325,5.3125,5.4725,5.6225,5.7525,5.855,5.9225,,6.0525,6.1925,6.2925,6.3075,6.3025,,,,
2000-01-15,4.005,4.5,4.8675,5.1325,5.3125,5.4725,5.6225,5.7525,5.855,5.9225,,6.0525,6.1925,6.2925,6.3075,6.3025,,,,
2000-01-16,4.005,4.5,4.8675,5.1325,5.3125,5.4725,5.6225,5.7525,5.855,5.9225,,6.0525,6.1925,6.2925,6.3075,6.3025,,,,
2000-01-17,3.9925,4.5125,4.8725,5.1325,5.3175,5.47,5.6225,5.7525,5.85,5.9175,,6.0425,6.195,6.2875,6.31,6.305,,,,
2000-01-18,4.0125,4.5425,4.9025,5.1825,5.3675,5.5275,5.6875,5.8275,5.9275,5.9975,,6.1225,6.2725,6.3675,6.3875,6.3825,,,,
2000-01-19,3.9925,4.5075,4.8825,5.1625,5.35,5.5175,5.6675,5.7975,5.8975,5.9725,,6.0975,6.2475,6.3425,6.3625,6.3575,,,,
2000-01-20,3.985,4.49,4.8775,5.1475,5.3375,5.4975,5.6475,5.7775,5.8725,5.9475,,6.0725,6.2125,6.3025,6.3125,6.3125,,,,
2000-01-21,3.9925,4.5175,4.905,5.175,5.365,5.5275,5.6675,5.7925,5.8875,5.9575,,6.0825,6.2225,6.2975,6.3125,6.3075,,,,
2000-01-22,3.9925,4.5175,4.905,5.175,5.365,5.5275,5.6675,5.7925,5.8875,5.9575,,6.0825,6.2225,6.2975,6.3125,6.3075,,,,
2000-01-23,3.9925,4.5175,4.905,5.175,5.365,5.5275,5.6675,5.7925,5.8875,5.9575,,6.0825,6.2225,6.2975,6.3125,6.3075,,,,
2000-01-24,4.0125,4.5375,4.9225,5.1825,5.37,5.5325,5.6725,5.7975,5.885,5.9625,,6.0875,6.2275,6.2975,6.3125,6.3075,,,,
2000-01-25,4.0075,4.5075,4.8675,5.1275,5.3175,5.4775,5.6125,5.7475,5.8475,5.9125,,6.0375,6.1725,6.2425,6.2525,6.2475,,,,
2000-01-26,4.0325,4.535,4.9075,5.1775,5.3625,5.52,5.6525,5.775,5.865,5.9325,,6.0525,6.175,6.2325,6.24,6.235,,,,
2000-01-27,4.1275,4.64,5.005,5.265,5.4575,5.61,5.7525,5.8725,5.9525,6.0175,,6.1325,6.2525,6.3075,6.3175,6.3025,,,,
2000-01-28,4.145,4.63,4.9675,5.23,5.4175,5.575,5.7075,5.825,5.915,5.975,,6.09,6.2025,6.265,6.265,6.26,,,,
2000-01-29,4.145,4.63,4.9675,5.23,5.4175,5.575,5.7075,5.825,5.915,5.975,,6.09,6.2025,6.265,6.265,6.26,,,,
2000-01-30,4.145,4.63,4.9675,5.23,5.4175,5.575,5.7075,5.825,5.915,5.975,,6.09,6.2025,6.265,6.265,6.26,,,,
2000-01-31,4.14,4.6225,4.9625,5.225,5.4125,5.5625,5.6925,5.8025,5.89,5.95,,6.06,6.1625,6.2225,6.2225,6.22,,,,
2000-02-01,4.1425,4.579,4.904,5.139,5.324,5.474,5.6065,5.719,5.8015,5.8615,5.9185,5.9665,6.0765,6.1365,6.1415,6.134,,,,
2000-02-02,4.14,4.5975,4.9275,5.1575,5.3375,5.4925,5.6325,5.7475,5.8175,5.8825,5.9185,5.9925,6.1075,6.1675,6.1675,6.1625,,,,
2000-02-03,4.125,4.565,4.88,5.1175,5.29,5.4475,5.5675,5.66,5.74,5.7975,5.9185,5.9,5.9875,6.02,6.02,6.02,,,,
2000-02-04,4.1575,4.6425,4.9825,5.2375,5.415,5.554,5.6865,5.7965,5.8775,5.9365,5.9915,6.036,6.1315,6.174,6.174,6.1665,,,,
2000-02-05,4.1575,4.6425,4.9825,5.2375,5.415,5.554,5.6865,5.7965,5.8775,5.9365,5.9915,6.036,6.1315,6.174,6.174,6.1665,,,,
2000-02-06,4.1575,4.6425,4.9825,5.2375,5.415,5.554,5.6865,5.7965,5.8775,5.9365,5.9915,6.036,6.1315,6.174,6.174,6.1665,,,,
2000-02-07,4.1775,4.6825,5.015,5.255,5.4325,5.584,5.714,5.8175,5.899,5.9575,6.008,6.0565,6.15,6.1865,6.19,6.1865,,,,
2000-02-08,4.1625,4.6525,4.9775,5.2075,5.3825,5.5375,5.6575,5.7525,5.8225,5.8825,5.9355,5.9825,6.0775,6.1125,6.1125,6.1075,,,,
2000-02-09,4.1625,4.6775,5.015,5.25,5.42,5.5675,5.6975,5.7975,5.8675,5.92,5.99,6.01,6.09,6.11,6.11,6.1075,,,,
2000-02-10,4.1625,4.6825,5.0375,5.2975,5.4725,5.6175,5.7575,5.865,5.9475,6.0025,5.99,6.0875,6.1825,6.2025,6.2075,6.1975,,,,
2000-02-11,4.165,4.6875,5.0525,5.2975,5.4775,5.6325,5.7625,5.8625,5.9425,5.9975,6.043,6.085,6.1725,6.2125,6.2125,6.205,,,,
2000-02-12,4.165,4.6875,5.0525,5.2975,5.4775,5.6325,5.7625,5.8625,5.9425,5.9975,6.043,6.085,6.1725,6.2125,6.2125,6.205,,,,
2000-02-13,4.165,4.6875,5.0525,5.2975,5.4775,5.6325,5.7625,5.8625,5.9425,5.9975,6.043,6.085,6.1725,6.2125,6.2125,6.205,,,,
2000-02-14,4.1575,4.665,5.015,5.255,5.425,5.575,5.715,5.8015,5.885,5.935,5.9805,6.0215,6.1065,6.1415,6.1465,6.1365,,,,
2000-02-15,4.1675,4.6625,5.015,5.259,5.434,5.584,5.719,5.8215,5.894,5.945,5.999,6.0325,6.119,6.1485,6.154,6.1435,,,,
2000-02-16,4.1775,4.685,5.0375,5.2875,5.46,5.61,5.74,5.8475,5.9275,5.98,6.0345,6.07,6.1475,6.18,6.1875,6.1775,,,,
2000-02-17,4.2125,4.734,5.08,5.309,5.484,5.634,5.7615,5.864,5.9415,5.9965,6.0395,6.079,6.1515,6.1865,6.1915,6.1815,,,,
2000-02-18,4.245,4.745,5.0725,5.2875,5.4525,5.5975,5.7225,5.8175,5.8875,5.9425,6.004,6.0225,6.0875,6.1125,6.1225,6.1125,,,,
2000-02-19,4.245,4.745,5.0725,5.2875,5.4525,5.5975,5.7225,5.8175,5.8875,5.9425,6.004,6.0225,6.0875,6.1125,6.1225,6.1125,,,,
2000-02-20,4.245,4.745,5.0725,5.2875,5.4525,5.5975,5.7225,5.8175,5.8875,5.9425,6.004,6.0225,6.0875,6.1125,6.1225,6.1125,,,,
2000-02-21,4.325,4.7675,5.075,5.275,5.444,5.58,5.7125,5.805,5.875,5.925,5.9655,6.005,6.073,6.095,6.105,6.09,,,,
2000-02-22,4.26,4.699,4.9815,5.179,5.339,5.4865,5.619,5.724,5.799,5.8515,5.8955,5.932,5.999,6.0365,6.0415,6.0315,,,,
2000-02-23,4.2725,4.695,4.9825,5.199,5.3515,5.5015,5.634,5.7415,5.819,5.8715,5.9155,5.9515,6.019,6.0565,6.0615,6.0515,,,,
2000-02-24,4.2375,4.645,4.924,5.139,5.299,5.454,5.59,5.704,5.7765,5.8315,5.8905,5.9215,5.994,6.0405,6.048,6.0415,,,,
2000-02-25,4.235,4.6825,4.9775,5.2075,5.385,5.545,5.685,5.795,5.8775,5.9375,5.9515,6.0275,6.105,6.155,6.1625,6.155,,,,
2000-02-26,4.235,4.6825,4.9775,5.2075,5.385,5.545,5.685,5.795,5.8775,5.9375,5.9515,6.0275,6.105,6.155,6.1625,6.155,,,,
2000-02-27,4.235,4.6825,4.9775,5.2075,5.385,5.545,5.685,5.795,5.8775,5.9375,5.9515,6.0275,6.105,6.155,6.1625,6.155,,,,
2000-02-28,4.2225,4.6725,4.9725,5.1925,5.3665,5.5275,5.6675,5.7875,5.8675,5.925,5.9835,6.01,6.09,6.13,6.135,6.13,,,,
2000-02-29,4.235,4.685,4.985,5.205,5.375,5.535,5.675,5.775,5.865,5.925,5.9835,6.015,6.085,6.125,6.135,6.135,,,,
2000-03-01,4.2425,4.679,4.9675,5.199,5.3665,5.52,5.654,5.764,5.8375,5.904,5.954,5.9825,6.064,6.0975,6.1025,6.0975,,,,
2000-03-02,4.275,4.72,5.0,5.24,5.41,5.53,5.67,5.78,5.86,5.92,5.993,6.0,6.07,6.12,6.13,6.12,,,,
2000-03-03,4.285,4.7175,5.0,5.2075,5.3675,5.515,5.645,5.7475,5.825,5.8775,5.9115,5.9575,6.0325,6.0825,6.085,6.075,,,,
2000-03-04,4.285,4.7175,5.0,5.2075,5.3675,5.515,5.645,5.7475,5.825,5.8775,5.9115,5.9575,6.0325,6.0825,6.085,6.075,,,,
2000-03-05,4.285,4.7175,5.0,5.2075,5.3675,5.515,5.645,5.7475,5.825,5.8775,5.9115,5.9575,6.0325,6.0825,6.085,6.075,,,,
2000-03-06,4.315,4.725,5.015,5.205,5.365,5.505,5.635,5.735,5.805,5.865,5.911,5.95,6.03,6.09,6.095,6.085,,,,
2000-03-07,4.325,4.745,5.005,5.195,5.355,5.495,5.625,5.72,5.805,5.865,5.891,5.945,6.025,6.09,6.095,6.095,,,,
2000-03-08,4.345,4.74,5.005,5.195,5.345,5.495,5.625,5.73,5.815,5.875,5.891,5.96,6.035,6.105,6.115,6.105,,,,
2000-03-09,4.3225,4.6975,4.945,5.12,5.26,5.4,5.53,5.6375,5.7175,5.78,5.8265,5.8575,5.955,6.03,6.0425,6.0375,,,,
2000-03-10,4.3625,4.7475,4.9925,5.1665,5.309,5.4465,5.5715,5.67,5.7515,5.8065,5.856,5.8965,5.9815,6.0535,6.0715,6.0665,,,,
2000-03-11,4.3625,4.7475,4.9925,5.1665,5.309,5.4465,5.5715,5.67,5.7515,5.8065,5.856,5.8965,5.9815,6.0535,6.0715,6.0665,,,,
2000-03-12,4.3625,4.7475,4.9925,5.1665,5.309,5.4465,5.5715,5.67,5.7515,5.8065,5.856,5.8965,5.9815,6.0535,6.0715,6.0665,,,,
2000-03-13,4.385,4.72,4.985,5.165,5.305,5.435,5.565,5.675,5.745,5.805,5.833,5.885,5.98,6.05,6.065,6.055,,,,
2000-03-14,4.395,4.755,4.985,5.175,5.315,5.445,5.575,5.665,5.735,5.795,5.8555,5.885,5.97,6.035,6.045,6.045,,,,
