month,Virginia,California,Florida,Colorado,New Jersey,Arizona,Texas,New York,Nevada,Massachusetts,North Carolina,West Virginia,Michigan,Missouri,Hawaii,Idaho,Indiana,Tennessee,Alabama,South Carolina,Illinois,the District of Columbia,Oklahoma,Maryland,Alaska,New Mexico,Oregon,Georgia,Montana,Pennsylvania,Utah,Iowa,Louisiana,Connecticut,Nebraska,Wyoming,Washington,Vermont,Wisconsin,Arkansas,Maine,Minnesota,Ohio,Rhode Island,Delaware,Kansas,New Hampshire,Mississippi,Kentucky,South Dakota,North Dakota
2000-01-01,135760.0,199988.0,115930.0,185354.0,186244.0,136647.0,114565.0,150302.0,164070.0,208323.0,134561.0,69390.0,122962.0,100724.0,223339.0,125046.0,103399.0,114221.0,101639.0,123100.0,148219.0,192876.0,79707.0,163604.0,131191.0,,161659.0,131576.0,,106393.0,179685.0,94407.0,105908.0,173534.0,117738.0,,174956.0,126639.0,118721.0,79664.0,116380.0,135500.0,110989.0,145027.0,152150.0,94218.0,140981.0,84029.0,92164.0,116488.0,
2000-02-01,136247.0,200838.0,116272.0,186256.0,187013.0,136978.0,114690.0,151072.0,164117.0,209313.0,134891.0,69449.0,123168.0,100926.0,223218.0,125000.0,103336.0,114409.0,101914.0,123508.0,148544.0,193878.0,79772.0,163630.0,131377.0,,162175.0,132020.0,,106754.0,179833.0,94692.0,106255.0,174483.0,118049.0,,175557.0,127007.0,118772.0,79834.0,116979.0,136185.0,111153.0,145991.0,152547.0,94279.0,141678.0,84041.0,92269.0,116227.0,
2000-03-01,136702.0,201908.0,116634.0,187112.0,187658.0,137367.0,114729.0,151714.0,164435.0,210348.0,135173.0,69521.0,123559.0,101175.0,223714.0,125111.0,103237.0,114555.0,102065.0,123780.0,148987.0,194810.0,79987.0,163834.0,131527.0,,162576.0,132462.0,,107044.0,180041.0,94927.0,106461.0,175367.0,118282.0,,176071.0,127476.0,119017.0,79983.0,117425.0,136724.0,111327.0,146874.0,152958.0,94445.0,142406.0,84086.0,92404.0,115862.0,
2000-04-01,137519.0,204158.0,117336.0,189044.0,189044.0,138126.0,114937.0,153070.0,165110.0,212298.0,135759.0,69650.0,124256.0,101700.0,224406.0,125283.0,102779.0,114885.0,102407.0,124410.0,149856.0,196923.0,80322.0,164253.0,131653.0,,163404.0,133348.0,,107611.0,180528.0,95416.0,106924.0,176756.0,118667.0,,177070.0,128321.0,119327.0,80286.0,118408.0,137972.0,111779.0,148558.0,153825.0,94653.0,143392.0,84244.0,92699.0,115458.0,
2000-05-01,138235.0,206570.0,118005.0,190956.0,190249.0,138916.0,114987.0,154296.0,165827.0,214197.0,136310.0,69777.0,125110.0,102279.0,225766.0,125692.0,102648.0,115175.0,102730.0,124886.0,150751.0,198898.0,80720.0,164976.0,131899.0,,164007.0,134192.0,,108102.0,182396.0,95878.0,107309.0,177717.0,118791.0,,178014.0,129148.0,119801.0,80508.0,119170.0,139136.0,112326.0,150002.0,154719.0,94918.0,144418.0,84662.0,93016.0,115386.0,
2000-06-01,138883.0,209081.0,118669.0,193034.0,191622.0,139533.0,115058.0,155555.0,166475.0,216169.0,136850.0,69957.0,125920.0,102850.0,227109.0,126090.0,102762.0,115415.0,103092.0,125402.0,151623.0,201150.0,81039.0,165716.0,131996.0,,164527.0,135023.0,,108548.0,184000.0,96281.0,107692.0,178646.0,118848.0,,178800.0,129816.0,120251.0,80699.0,120009.0,140457.0,112914.0,150875.0,155606.0,95171.0,145422.0,85136.0,93317.0,115240.0,
2000-07-01,139715.0,211689.0,119323.0,195026.0,193074.0,140190.0,115063.0,156581.0,166985.0,218514.0,137337.0,70176.0,126839.0,103451.0,228381.0,126433.0,103362.0,115670.0,103374.0,125860.0,152583.0,203173.0,81378.0,166538.0,132385.0,,164912.0,135824.0,,109000.0,185531.0,96664.0,108029.0,179666.0,118878.0,,179671.0,130455.0,120835.0,80872.0,120847.0,141845.0,113411.0,151693.0,156452.0,95516.0,146900.0,85517.0,93652.0,115113.0,
2000-08-01,140663.0,214453.0,119997.0,197262.0,194857.0,140823.0,115281.0,157431.0,167647.0,221423.0,137776.0,70489.0,127686.0,104125.0,229958.0,126782.0,103787.0,115920.0,103618.0,126390.0,153699.0,204845.0,81682.0,167214.0,132380.0,,165386.0,136686.0,,109394.0,185725.0,96949.0,108240.0,180927.0,119101.0,,180400.0,131106.0,121428.0,81110.0,121685.0,143955.0,113874.0,152540.0,157166.0,95879.0,148537.0,85844.0,94037.0,114854.0,
2000-09-01,141686.0,217233.0,120682.0,199519.0,196771.0,141579.0,115533.0,158175.0,168360.0,224606.0,138206.0,70724.0,128464.0,104794.0,231453.0,127046.0,104099.0,116249.0,103916.0,126945.0,154851.0,206052.0,81963.0,167932.0,132568.0,,165747.0,137563.0,,109811.0,186216.0,97284.0,108590.0,182169.0,119345.0,,181062.0,131846.0,121997.0,81394.0,122562.0,145894.0,114335.0,153706.0,157814.0,96209.0,150248.0,86140.0,94467.0,115216.0,
2000-10-01,142616.0,219868.0,121382.0,201743.0,198650.0,142273.0,115796.0,159026.0,169066.0,227921.0,138686.0,71046.0,129187.0,105514.0,233085.0,127339.0,104486.0,116545.0,104283.0,127487.0,155992.0,206002.0,82225.0,168724.0,132473.0,,166146.0,138497.0,,110207.0,186643.0,97726.0,109028.0,183580.0,119601.0,,181640.0,132804.0,122562.0,81686.0,123363.0,147890.0,114787.0,154796.0,158394.0,96580.0,152303.0,86555.0,94847.0,115461.0,
2000-11-01,143600.0,222507.0,122119.0,203871.0,200230.0,142924.0,116130.0,160158.0,169779.0,231029.0,139261.0,71519.0,129995.0,106298.0,233914.0,127559.0,105055.0,116904.0,104710.0,128041.0,157028.0,206408.0,82576.0,169564.0,132775.0,,166574.0,139415.0,,110693.0,187274.0,98145.0,109646.0,184983.0,119929.0,,182303.0,133742.0,123083.0,82136.0,124462.0,149347.0,115245.0,155839.0,159262.0,97012.0,154151.0,86995.0,95287.0,115388.0,
2000-12-01,144626.0,225098.0,122889.0,205913.0,201635.0,143562.0,116511.0,161373.0,170456.0,234165.0,139873.0,72145.0,130863.0,107003.0,234804.0,127811.0,105738.0,117329.0,105185.0,128471.0,158012.0,206938.0,83013.0,170520.0,133175.0,,167106.0,140431.0,,111200.0,187846.0,98654.0,110254.0,186199.0,120270.0,,183174.0,134691.0,123630.0,82639.0,125650.0,151094.0,115699.0,157039.0,160006.0,97527.0,156090.0,87624.0,95759.0,115208.0,
2001-01-01,145671.0,227178.0,123658.0,208026.0,202998.0,144187.0,116747.0,162536.0,171151.0,236913.0,140522.0,72873.0,131667.0,107490.0,235566.0,128303.0,106224.0,117838.0,105731.0,129062.0,158930.0,208193.0,83505.0,171253.0,136544.0,,167727.0,141432.0,,111705.0,188414.0,98945.0,110951.0,187348.0,120863.0,,184083.0,135501.0,124134.0,83255.0,127166.0,152589.0,116135.0,158188.0,160921.0,98193.0,157788.0,88208.0,96350.0,115350.0,
2001-02-01,146563.0,229332.0,124468.0,209985.0,204719.0,144821.0,116704.0,163503.0,171953.0,239492.0,140969.0,73205.0,132299.0,107837.0,236368.0,128763.0,106365.0,118218.0,106167.0,129571.0,159754.0,209337.0,83963.0,171989.0,141055.0,,168217.0,142289.0,,112193.0,188696.0,99288.0,111551.0,188354.0,121171.0,,185009.0,136563.0,124709.0,83555.0,128477.0,153985.0,116508.0,159423.0,161625.0,98949.0,159790.0,88522.0,96864.0,115696.0,
2001-03-01,147540.0,231793.0,125325.0,211998.0,206431.0,145459.0,116497.0,164459.0,172801.0,242124.0,141367.0,73507.0,132871.0,108323.0,237039.0,129440.0,106421.0,118565.0,106533.0,130140.0,160718.0,210793.0,84335.0,172624.0,146452.0,,168768.0,143041.0,,112725.0,188882.0,99495.0,112166.0,189659.0,117465.0,,185867.0,137674.0,125306.0,83797.0,129731.0,155454.0,116896.0,160806.0,162513.0,99706.0,161592.0,88740.0,97368.0,116351.0,
2001-04-01,148543.0,234894.0,126257.0,213920.0,208307.0,146106.0,116417.0,165480.0,173661.0,244883.0,141650.0,73626.0,133405.0,108953.0,237871.0,130003.0,106458.0,118834.0,106782.0,130458.0,161648.0,213038.0,84668.0,173582.0,149549.0,,169207.0,143715.0,,113304.0,189073.0,99855.0,112674.0,191086.0,113525.0,,186686.0,138772.0,125979.0,83909.0,130685.0,157073.0,117286.0,162467.0,163299.0,100287.0,163515.0,88948.0,97794.0,116829.0,
2001-05-01,149667.0,237761.0,127225.0,215807.0,210037.0,146754.0,116510.0,166573.0,174554.0,247670.0,141998.0,73966.0,134033.0,109634.0,239139.0,130520.0,106770.0,119142.0,107036.0,130871.0,162777.0,215264.0,84927.0,174596.0,152149.0,,169705.0,144463.0,,113792.0,189167.0,100205.0,113092.0,192596.0,109817.0,,187297.0,139689.0,126590.0,84223.0,131957.0,158608.0,117665.0,164085.0,164137.0,100813.0,165657.0,89340.0,98234.0,117575.0,
2001-06-01,150725.0,240251.0,128228.0,217481.0,211965.0,147393.0,116647.0,167730.0,175467.0,250571.0,142310.0,74224.0,134591.0,110331.0,240467.0,130825.0,107129.0,119400.0,107280.0,131279.0,163822.0,217414.0,85188.0,175786.0,154266.0,,170184.0,145150.0,,114264.0,189378.0,100630.0,113449.0,193992.0,110114.0,,187934.0,140529.0,127200.0,84526.0,133280.0,160116.0,117984.0,165664.0,164884.0,101311.0,167875.0,89676.0,98686.0,117742.0,
