symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,persistence
TSLA,2010-07-30,25,25.92,14.98,19.94,1.3293,64575800,0,0.03059999999999996
TSLA,2010-08-31,20.5,22.18,17.39,19.48,1.2987,15038200,0,
TSLA,2010-09-30,19.62,23.16,19.5,20.405,1.3603,18045900,0,
TSLA,2010-10-29,20.69,21.87,20,21.84,1.456,6547800,0,
TSLA,2010-11-30,21.94,36,21.05,35.33,2.3553,28315100,0,0.7626000000000002
TSLA,2010-12-31,35.87,36.42,25,26.63,1.7753,36892900,0,
TSLA,2011-01-31,26.84,28.71,22.37,24.1,1.6067,28420100,0,
TSLA,2011-02-28,24.31,25.49,21.11,23.89,1.5927,29303500,0,
TSLA,2011-03-31,24.05,28.71,21.77,27.75,1.85,32563300,0,0.010000000000000009
TSLA,2011-04-29,27.45,28.18,24.2,27.6,1.84,29894900,0,
TSLA,2011-05-31,27.6,30.28,25.52,30.14,2.0093,30348800,0,0.3833000000000002
TSLA,2011-06-30,30,31.5,25.5,29.13,1.942,39727300,0,
TSLA,2011-07-29,29.07,30.44,26.63,28.17,1.878,21102100,0,
TSLA,2011-08-31,28.67,29.2,21.5,24.74,1.6493,27215700,0,
TSLA,2011-09-30,24.66,26.99,22.29,24.39,1.626,18021500,0,
TSLA,2011-10-31,24.95,30,22.93,29.37,1.958,21662600,0,
TSLA,2011-11-30,28.39,35,28,32.74,2.1827,25846800,0,0.27870000000000017
TSLA,2011-12-30,32.57,35,26.03,28.56,1.904,21128500,0,
TSLA,2012-01-31,28.94,30,22.64,29.07,1.938,25609900,0,
TSLA,2012-02-29,29.07,34.97,29,33.41,2.2273,23193600,0,
TSLA,2012-03-30,33.51,39.95,32.62,37.24,2.4827,22163500,0,0.6546999999999998
TSLA,2012-04-30,37.33,38.4696,31,33.13,2.2087,22752900,0,
TSLA,2012-05-31,33.13,34.68,26.83,29.5,1.9667,34185300,0,
TSLA,2012-06-29,28.53,34.5,27.11,31.29,2.086,26127100,0,0.11929999999999996
TSLA,2012-07-31,31.35,36,27.21,27.42,1.828,32543400,0,
TSLA,2012-08-31,27.99,31.3,25.52,28.52,1.9013,24482100,0,
TSLA,2012-09-28,28.52,32.78,27.295,29.28,1.952,33295100,0,0.0766
TSLA,2012-10-31,29.5,30.1,26.86,28.1314,1.8754,17620900,0,
TSLA,2012-11-30,28.25,34.29,28.2,33.82,2.2547,23760900,0,
TSLA,2012-12-31,33.89,35.8,32.75,33.87,2.258,21714300,0,
TSLA,2013-01-31,35,38.71,32.11,37.51,2.5007,28464600,0,0.17870000000000008
TSLA,2013-02-28,38.17,40,33.8,34.83,2.322,44256000,0,
TSLA,2013-03-28,35,39.49,34.25,37.89,2.526,29655000,0,
TSLA,2013-04-30,42.36,58.18,40.2105,53.99,3.5993,81548100,0,
TSLA,2013-05-31,55.99,114.9,53,97.76,6.5173,331220900,0,
TSLA,2013-06-28,97.62,110.25,88.25,107.36,7.1573,179114700,0,
TSLA,2013-07-31,109.36,137.49,104.5,134.28,8.952,229528200,0,
TSLA,2013-08-30,135,173,132.36,169,11.2667,259266600,0,
TSLA,2013-09-30,173.4,194.5,158.51,193.37,12.8913,171210600,0,4.405999999999999
TSLA,2013-10-31,193.96,194.23,153,159.94,10.6627,258454800,0,
TSLA,2013-11-29,163,181.43,116.1,127.28,8.4853,308388500,0,
TSLA,2013-12-31,126.35,158,123.931,150.429,10.0286,197637900,0,
TSLA,2014-01-31,149.8,186,136.671,181.41,12.094,183932300,0,
TSLA,2014-02-28,182.89,265,169.36,244.81,16.3207,225954100,0,2.4693999999999985
TSLA,2014-03-31,237.26,260,203,208.45,13.8967,166685600,0,
TSLA,2014-04-30,209.02,235.73,184.32,207.89,13.8593,165207800,0,
TSLA,2014-05-30,207.08,218.6596,177.22,207.77,13.8513,134810100,0,
TSLA,2014-06-30,207.33,244.49,199.251,240.06,16.004,123238200,0,1.117300000000002
TSLA,2014-07-31,242.46,243.44,213.6,223.3,14.8867,107871700,0,
TSLA,2014-08-29,226.09,272,226,269.7,17.98,114710400,0,5.395300000000001
TSLA,2014-09-30,275.5,291.42,240.1249,242.68,16.1787,132773043,0,
TSLA,2014-10-31,242.2,265.54,217.32,241.7,16.1133,152148180,0,
TSLA,2014-11-28,243,259.99,228.5,244.52,16.3013,107731050,0,0.1880000000000024
TSLA,2014-12-31,241.16,242.47,192.65,222.41,14.8273,127100337,0,
TSLA,2015-01-30,222.87,223.25,185,203.6,13.5733,90121332,0,
TSLA,2015-02-27,203.97,225.48,193.28,203.34,13.556,106717638,0,
TSLA,2015-03-31,202.7,206.19,181.4,188.77,12.5847,122990032,0,
TSLA,2015-04-30,188.7,238.75,186.05,226.05,15.07,98945034,0,
TSLA,2015-05-29,229.94,252.8677,220.25,250.8,16.72,89127783,0,
TSLA,2015-06-30,251.41,271.41,245.68,268.26,17.884,65473162,0,5.257300000000001
TSLA,2015-07-31,271.11,286.65,250.79,266.15,17.7433,80060910,0,
TSLA,2015-08-31,266.29,271,195,249.06,16.604,113858937,0,
TSLA,2015-09-30,240.34,271.57,236.97,248.4,16.56,80218666,0,
TSLA,2015-10-30,247.51,249.84,202,206.93,13.7953,100854710,0,
TSLA,2015-11-30,208.92,234.5843,205.8,230.26,15.3507,78487987,0,
TSLA,2015-12-31,231.06,243.634,214.87,240.01,16.0007,59852189,0,2.205399999999999
TSLA,2016-01-29,230.72,231.38,182.41,191.2,12.7467,79247152,0,
TSLA,2016-02-29,188.76,199.52,141.05,191.93,12.7953,133705697,0,
TSLA,2016-03-31,194.25,239.88,181.5,229.77,15.318,102729544,0,
