date,screentime,persistence
2010-01-01,206.299,78.299
2010-01-02,128,
2010-01-03,171.00799999999998,
2010-01-04,211,193
2010-01-05,183,
2010-01-06,119.475,
2010-01-07,144,24.525000000000006
2010-01-08,77.818,
2010-01-09,121,
2010-01-10,149.048,71.23
2010-01-11,98,
2010-01-12,82,
2010-01-13,63,
2010-01-14,47.278999999999996,
2010-01-15,29,
2010-01-16,18,
2010-01-17,19.861,
2010-01-18,79.569,48.569
2010-01-19,53,
2010-01-20,37,
2010-01-21,31,
2010-01-22,31,
2010-01-23,50,
2010-01-24,70,
2010-01-25,102,72
2010-01-26,70,
2010-01-27,88.112,18.111999999999995
2010-01-28,74,
2010-01-29,33,
2010-01-30,44,
2010-01-31,63,24
2010-02-01,39,
2010-02-02,67.80099999999999,34.80099999999999
2010-02-03,31.294999999999998,
2010-02-04,44,12.705000000000002
2010-02-05,39,
2010-02-06,30,
2010-02-07,36,
2010-02-08,48.85,
2010-02-09,52.127,
2010-02-10,60,
2010-02-11,71.955,
2010-02-12,115.945,
2010-02-13,255,77.22400000000002
2010-02-14,177.77599999999998,
2010-02-15,256,250
2010-02-16,176,
2010-02-17,122,
2010-02-18,77,
2010-02-19,36.215,
2010-02-20,6,
2010-02-23,27.128,
2010-02-24,45,34
2010-02-25,16,
2010-02-26,38.903,22.903
2010-02-27,11,
2010-02-28,18,
2010-03-01,65.842,55.015
2010-03-02,10.827,
2010-03-03,29.565,
2010-03-04,55,37
2010-03-05,18,
2010-03-06,20,
2010-03-07,63.101,
2010-03-08,99.984,35.589
2010-03-09,64.395,
2010-03-10,92.32900000000001,
2010-03-11,109,99
2010-03-12,68,
2010-03-13,39,
2010-03-14,70,31
2010-03-15,26,
2010-03-16,58,32
2010-03-17,48,
2010-03-18,28,
2010-03-20,18,
2010-03-21,10,
2010-03-22,13,
2010-03-23,16,
2010-03-24,23,10
2010-03-25,13,
2010-03-26,42,26
2010-03-27,16,
2010-03-28,289,284
2010-03-29,182,
2010-03-30,87,
2010-03-31,36,
2010-04-01,45,
2010-04-02,53,
2010-04-03,69.044,
2010-04-04,100.32900000000001,
2010-04-05,127.69200000000001,
2010-04-06,189,153
2010-04-07,165.755,
2010-04-08,134.442,
2010-04-09,64,
2010-04-10,57,
2010-04-11,141,84
2010-04-12,131.832,
2010-04-13,38,
2010-04-14,39,
2010-04-15,85,47
2010-04-16,61.642,
2010-04-17,13,
2010-04-18,38,1
2010-04-19,37,
2010-04-20,50.21,37.21
2010-04-21,32.911,
2010-04-22,14,
2010-04-23,46,32
2010-04-24,8,
2010-04-25,11,
2010-04-26,48,40
2010-04-27,21,
2010-04-28,14,
2010-04-29,5,
2010-04-30,10,
2010-05-01,14.748000000000001,
2010-05-02,15,
2010-05-03,24,
2010-05-04,48,
2010-05-05,71,
2010-05-06,94.019,46.019000000000005
2010-05-07,49,
2010-05-08,48,
2010-05-09,91,
2010-05-10,112.639,
2010-05-11,125.565,
2010-05-12,470.526,463.526
2010-05-13,130.039,
2010-05-14,126,
2010-05-15,46.784,
2010-05-16,45,
2010-05-17,7,
2010-06-11,13,
2010-06-12,15,
2010-06-13,84.291,
2010-06-14,225.971,178.971
2010-06-15,156.354,
2010-06-16,104,
2010-06-17,58,
2010-06-18,73,15
2010-06-19,47,
2010-06-20,80,
2010-06-22,261,
2010-06-23,813.461,812.461
2010-06-24,438.82,
2010-06-25,322,
2010-06-26,226,
2010-06-27,493.264,104.08200000000005
2010-06-28,389.18199999999996,
2010-06-29,586.833,360.83299999999997
2010-06-30,298.3140000000001,
2010-07-01,126,
2010-07-02,283,19
2010-07-03,264,
2010-07-04,555.195,429.19500000000005
2010-07-05,336.91200000000003,
2010-07-06,262.93,
